Sample ID	Species Identified	Percent Identity
a_CONTROL_glossodonta.fa	glossodonta	100.000
a_CONTROL_goreensis.fa	goreensis	100.000
a_CONTROL_nemoptera.fa	nemoptera	100.000
a_CONTROL_vulpes.fa	vulpes	100.000
BTT003_ALBA-3R_7984908_015 (trimmed).fa	vulpes	97.890
BTT046_ALBA-3R assembly consensus.fa	goreensis	99.801
BTT060_ALBA-3R_7984908_013 (trimmed).fa	vulpes	98.689
BTT061_ALBA-3R_7984908_011 (trimmed).fa	vulpes	98.525
BTT064_ALBA-3R_7984908_009 (trimmed).fa	vulpes	98.851
BTT079_ALBA-3R_7984908_007 (trimmed).fa	vulpes	98.185
BTT081_ALBA-3R_7984908_005 (trimmed).fa	vulpes	98.363
BTT083_ALBA-3R_7984908_003 (trimmed).fa	vulpes	98.795
BTT085_ALBA-3R_7984908_001 (trimmed).fa	vulpes	97.260
BTT086_ALBA-3R_7984908_016 (trimmed).fa	vulpes	98.203
BTT087_ALBA-3R_7984908_014 (trimmed).fa	vulpes	98.839
BTT092_ALBA-3R_7984908_012 (trimmed).fa	vulpes	98.525
BTT093_ALBA-3R_7984908_010 (trimmed).fa	vulpes	98.361
BTT094_ALBA-3R_7984908_008 (trimmed).fa	vulpes	98.673
BTT095_ALBA-3R_7984908_006 (trimmed).fa	vulpes	98.684
BTT096_ALBA-3R_7984908_004 (trimmed).fa	vulpes	98.839
BTT097_ALBA-3R_7984908_002 (trimmed).fa	vulpes	98.527
BTT098_ALBA-3R_7984908_031 (trimmed).fa	vulpes	98.039
BTT099_ALBA-3R_7984908_029 (trimmed).fa	vulpes	98.522
BTT100_ALBA-3R_7984908_027 (trimmed).fa	vulpes	98.049
BTT102_ALBA-3R_7984908_025 (trimmed).fa	vulpes	98.507
BTT111_ALBA-3R_7984908_023 (trimmed).fa	vulpes	99.005
BTT112_ALBA-3R_7984908_021 (trimmed).fa	vulpes	98.344
BTT145_ALBA-3R_7984908_017 (trimmed).fa	vulpes	98.061
BTT146_ALBA-3R_7984908_032 (trimmed).fa	vulpes	98.507
BTT148_ALBA-3R_7984908_030 (trimmed).fa	vulpes	98.200
BTT149_ALBA-3R_7984908_028 (trimmed).fa	vulpes	98.361
BTT163_ALBA-3R_7984908_026 (trimmed).fa	vulpes	99.003
BTT164_ALBA-3R_7984908_024 (trimmed).fa	vulpes	98.369
BTT165_ALBA-3R_7984908_022 (trimmed).fa	vulpes	98.839
BTT166_ALBA-3R_7984908_020 (trimmed).fa	vulpes	98.529
BTT167_ALBA-3R_7984908_018 (trimmed).fa	vulpes	98.686
BTT173_ALBA-3R_7984908_047 (trimmed).fa	vulpes	98.344
BTT181_ALBA-3R_7984908_045 (trimmed).fa	vulpes	98.200
BTT182_ALBA-3R_7984908_043 (trimmed).fa	vulpes	98.693
BTT193_ALBA-3R_7984908_041 (trimmed).fa	vulpes	96.450
BTT197_ALBA-3R_7984908_039 (trimmed).fa	vulpes	98.525
BTT201_ALBA-3R_7984908_037 (trimmed).fa	vulpes	98.347
BTT202_ALBA-3R_7984908_035 (trimmed).fa	vulpes	98.358
BTT203_ALBA-3R_7984908_033 (trimmed).fa	vulpes	98.525
BTT204_ALBA-3R_7984908_048 (trimmed).fa	vulpes	98.507
BTT205_ALBA-3R_7984908_046 (trimmed).fa	vulpes	98.522
BTT207_ALBA-3R_7984908_044 (trimmed).fa	vulpes	98.673
BTT208_ALBA-3R_7984908_042 (trimmed).fa	vulpes	98.512
BTT210_ALBA-3R_7984908_040 (trimmed).fa	vulpes	98.852
BTT211_ALBA-3R_7984908_038 (trimmed).fa	vulpes	98.347
BTT212_ALBA-3R_7984908_036 (trimmed).fa	vulpes	97.879
BTT213_ALBA-3R_7984908_063 (trimmed).fa	vulpes	98.673
BTT214_ALBA-3R_7984908_061 (trimmed).fa	vulpes	98.829
BTT215_ALBA-3R_7984908_059 (trimmed).fa	vulpes	98.671
BTT216_ALBA-3R_7984908_057 (trimmed).fa	vulpes	98.361
BTT217_ALBA-3R_7984908_055 (trimmed).fa	vulpes	98.522
BTT229_ALBA-3R_7984908_053 (trimmed).fa	vulpes	98.344
BTT230_ALBA-3R_7984908_051 (trimmed).fa	vulpes	98.851
BTT231_ALBA-3R_7984908_049 (trimmed).fa	vulpes	98.164
BTT232_ALBA-3R_7984908_064 (trimmed).fa	vulpes	98.686
BTT233_ALBA-3R_7984908_062 (trimmed).fa	vulpes	98.505
